排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長,總經理,
587,6189,豐藝,市,17.9,55.3,13.1,電子通路業,陳澄芳,陳澄芳,
588,1231,聯華食,市,15.3,55.3,21.7,食品工業,李開源,李開勳,
589,5392,應華,櫃,10.3,55.3,18.1,光電業,董俊仁,李敏誠,
590,2527,宏璟,市,27,55.3,22.3,建材營造業,簡文祥,周家佩,
591,6533,晶心科,市,4.06,55.2,0.3,半導體業,蔡明介,林志明,
592,3563,牧德,櫃,4.26,55.2,6.5,其他電子業,汪光夏,陳復生,
593,6177,達麗,市,20.7,55,3.9,建材營造業,謝志長,謝志長,
594,2420,新巨,市,15.3,55,16.8,電子零組件業,周進文,周進文,
595,3362,先進光,櫃,9.34,54.9,11.8,光電業,林忠和,高維亞,
596,1535,中宇,市,12.4,54.8,15.8,電機機械,翁朝棟,陳榮貴,
597,4526,東台,市,25.5,54.8,13.8,電機機械,嚴瑞雄,嚴瑞雄,
598,8433,弘帆,櫃,5.26,54.7,4.5,貿易百貨業,朱鵬飛,朱鵬飛,
599,2387,精元,市,26.3,54.5,18.4,電腦及週邊設備業,蔡火爐,蔡火爐,
600,5351,鈺創,櫃,43.7,54.4,19.1,半導體業,盧超群,鄧茂松,
601,2477,美隆電,市,23.9,54.3,15.8,其他電子業,吳維忠,吳維忠,
602,2597,潤弘,市,13.5,54.1,7.3,建材營造業,賴士勳,董世寧,
603,2612,中航,市,19.7,53.8,22.7,航運業,周慕豪,洪順地,
604,6143,振曜,櫃,8.33,53.7,15.4,通信網路業,呂俊德,呂俊德,
605,6290,良維,櫃,13.1,53.7,12.1,電子零組件業,李淳正,李淳正,
606,2374,佳能,市,28.2,53.7,22.5,光電業,曾明仁,曾明仁,
607,5538,東明-KY,市,16.8,53.4,3.6,鋼鐵工業,Tong One Holding Limited代表人:蔡清東,蔡弘泉,
608,1315,達新,市,19.8,53.1,25.2,塑膠工業,吳子聰,胡伯澤,
609,3346,麗清,市,6.83,53.1,0.5,汽車工業,劉美秀,劉美秀,
610,3130,一零四,市,3.32,53,11.4,資訊服務業,楊基寬,楊基寬,
611,6531,愛普,市,7.06,53,1.1,半導體業,蔡國智,顧峻,
612,3032,偉訓,市,11.3,52.9,14.9,電子零組件業,柯吉源,王駿東,
613,3016,嘉晶,市,24.4,52.8,14.5,半導體業,徐建華,孫慶宗,
614,2419,仲琦,市,23,52.7,16.8,通信網路業,鄭炎為,鄭炎為,
615,1785,光洋科,櫃,40.6,52.7,12.4,其他電子業,馬堅勇,黃啟峰,
616,8083,瑞穎,櫃,3.51,52.7,12.8,電機機械,陳柏峰,陳柏津,
617,5213,亞昕,櫃,38,52.5,14.2,建材營造業,姚連地,姚連地,
618,8446,華研,櫃,4.28,52.4,3.5,其他業,呂燕清,何燕玲,
619,6426,統新,櫃,3.23,52.3,2.6,通信網路業,劉奇林,藍宏利,
620,4743,合一,櫃,19.5,52.3,5.8,生技醫療業,黃山內,黃山內,
621,6197,佳必琪,市,17.3,52.3,12.7,電子零組件業,張舒眉,張舒眉,
622,6187,萬潤,櫃,8.42,52.1,14.8,其他電子業,盧鏡來,鄭新耀,
623,6111,大宇資,櫃,4.82,52,15.9,資訊服務業,œ俊光,œ俊光,
624,4142,國光生,市,23.8,51.7,5.2,生技醫療業,詹啟賢,留忠正,
625,5907,大洋-KY,市,19.9,51.6,5.1,貿易百貨業,郭人豪,黃清海,
626,4739,康普,櫃,7.57,51.6,5.6,化學工業,何基丞,何基丞,
627,2472,立隆電,市,13.1,51.5,15.8,電子零組件業,吳德銓,吳志銘,
628,3583,辛耘,市,8.11,51.4,4.3,半導體業,謝宏亮,許明棋,
629,3437,榮創,市,14.9,51.3,3,光電業,方榮熙,方榮熙,
630,8411,福貞-KY,市,15.8,51.3,5.7,其他業,李榮福,莊素貞,
631,1463,強盛,市,17.3,51,20.6,紡織纖維,陳壬發,呂芳福,
632,4126,太醫,櫃,6.6,50.8,13.4,生技醫療業,鍾仁,鍾仁,
633,4528,江興鍛,櫃,7.65,50.7,16.4,電機機械,江木山,江木山,
634,6124,業強,櫃,18.2,50.6,15.3,電子零組件業,王台光,王台光,
635,1603,華電,市,19.2,50.6,49.1,電器電纜,陳金鋑,陳鶴原,
636,4991,環宇-KY,櫃,7.44,50.6,2.8,半導體業,黃大倫,安寶信( 總執行長暨總裁),
637,4152,台微體,櫃,5.57,50.2,4.5,生技醫療業,洪基隆,葉志鴻,
638,6497,亞獅康-KY,櫃,13,50.1,0.1,生技醫療業,傅勇,傅勇,
639,3526,凡甲,櫃,6.58,50,9.7,電子零組件業,游萬益,張一偉,
640,4803,VHQ-KY,櫃,3.23,50,1.6,文化創意業,劉國華,劉國華,
641,6499,益安,櫃,5.14,50,0.9,生技醫療業,張有德,張有德,
642,6224,聚鼎,市,8,49.9,7.8,電子零組件業,朱復華,王紹裘,
643,3041,揚智,市,30.3,49.8,14.9,半導體業,林申彬,黃學偉,
644,2114,鑫永銓,市,6.75,49.8,6.5,橡膠工業,林季進,林季佑,
645,5457,宣德,櫃,16.8,49.7,16.8,電子零組件業,蔡鎮隆,陳立生,
646,4129,聯合,櫃,7.17,49.6,12.8,生技醫療業,林延生,林延生,
647,2538,基泰,市,43.8,49.5,20.7,建材營造業,陳世銘,馮先勉,
648,2388,威盛,市,49.3,49.2,18.3,半導體業,陳文琦,陳文琦,
649,8916,光隆,櫃,10.9,48.9,18.2,其他業,詹賀博,詹賀博,
650,3685,元創精密,櫃,8,48.6,6.6,光電業,江凱量,張明弘,
651,6108,競國,市,16,48.6,8.5,電子零組件業,曹月霞,賴進財,
652,8480,泰昇-KY,市,3.57,48.6,0.5,其他業,戴朝榮( EVERLINK OVERSEAS INC.代表人),戴朝榮,
653,4114,健喬,櫃,16.5,48.2,14.2,生技醫療業,林智暉,林智暉,
654,4416,三圓,櫃,6,48.2,17.2,建材營造業,王光祥,李焰彰,
655,8936,國統,櫃,22.6,48,14.8,其他業,梁家源,葉清正,
656,3645,達邁,市,12.3,47.9,5.8,電子零組件業,吳聲昌,吳聲昌,
