排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
111,2606,裕民,上市,85.8,369,24.5,航運業,徐旭東
112,2344,華邦電,上市,369,362,19.6,半導體業,焦佑鈞
113,2204,中華,上市,138,362,24.2,汽車工業,嚴凱泰
114,2609,陽明,上市,286,356,23.1,航運業,盧峰海
115,8046,南電,上市,64.6,355,9.1,電子零組件業,吳嘉昭
116,2707,晶華,上市,11.7,354,17.2,觀光事業,潘思亮
117,8150,南茂,上市,86.5,352,1.1,半導體業,鄭世杰
118,1723,中碳,上市,23.7,349,16.5,化學工業,鍾樂民
119,2809,京城銀,上市,120,348,31.8,銀行業,戴誠志
120,9907,統一實,上市,158,345,24.3,其他業,羅智先
121,5904,寶雅,上櫃,9.41,343,12.7,貿易百貨業,陳建造
122,3105,穩懋,上櫃,74.3,340,3.4,半導體業,陳進財
123,1717,長興,上市,102,336,21.1,化學工業,高國倫
124,5530,龍巖,上櫃,39.9,334,14.6,其他業,李世聰
125,2903,遠百,上市,144,332,36.6,貿易百貨業,徐旭東
126,3691,碩禾,上櫃,6.09,325,4.5,光電業,陳繼明
127,5522,遠雄,上市,83.5,320,7.8,建材營造業,趙文嘉
128,2833,台壽保,上市,103,320,17.6,保險業,許舒博
129,2449,京元電,上市,119,320,14,半導體業,李金恭
130,2845,遠東銀,上市,286,318,16.5,銀行業,侯金英
131,1789,神隆,上市,70.3,316,3.6,生技醫療業,鄭高輝
132,2812,台中銀,上市,285,308,31,銀行業,蘇金豐
133,2847,大眾銀,上市,277,305,16.3,銀行業,陳建平
134,6285,啟碁,上市,32.9,304,11.7,通信網路業,謝宏波
135,1605,華新,上市,358,300,42.5,電器電纜,焦佑倫
136,2501,國建,上市,166,297,47.6,建材營造業,張清櫆
137,3044,健鼎,上市,52.6,294,12.7,電子零組件業,王景春
138,2231,為升,上市,7.24,294,4.5,電機機械,尤山泉
139,2393,億光,上市,43,293,15.5,光電業,葉寅夫
140,2849,安泰銀,上市,196,293,15.7,銀行業,齊百邁
141,2392,正崴,上市,51.2,292,15.7,電子零組件業,郭台強
142,2377,微星,上市,84.5,292,16.6,電腦及週邊設備業,徐祥
143,3529,力旺,上櫃,7.68,289,4.3,半導體業,徐清祥
