"4903","聯光通","18.84","0.16","1.16","1.30"
"4905","台聯電","46.29","1.00","1.86","0.72"
"4907","富宇","7.71","0.00","0.00","1.76"
"4908","前鼎","16.45","1.80","8.83","1.36"
"4909","新復興","10.53","1.30","5.04","0.94"
"4911","德英","N/A","0.00","0.00","8.16"
"4924","F-欣厚","N/A","0.00","0.00","0.53"
"4933","友輝","14.40","1.25","5.23","0.65"
"4939","亞電","N/A","0.00","0.00","0.55"
"4944","兆遠","N/A","0.12","1.27","0.58"
"4946","辣椒","N/A","0.00","0.00","1.89"
"4947","F-昂寶","15.19","8.50","4.62","3.09"
"4950","牧東","N/A","0.58","3.89","0.72"
"4953","緯軟","9.18","1.80","8.91","0.83"
"4965","商店街","41.04","3.49","3.17","5.14"
"4966","F-譜瑞","20.84","4.98","1.57","3.89"
"4971","F-IET","31.04","1.38","1.07","3.05"
"4972","湯石","11.46","3.00","7.06","1.39"
"4973","廣穎","N/A","1.20","7.19","0.71"
"4974","亞泰","8.19","2.65","7.49","1.30"
"4979","華星光","11.89","3.00","4.11","3.04"
"4987","科誠","8.65","5.00","7.39","2.00"
"4991","F-環宇","18.64","2.50","2.86","3.28"
"4995","晶達","12.05","2.52","6.17","2.81"
"5009","榮剛","9.08","1.00","5.65","0.89"
"5011","久陽","60.00","1.60","6.35","2.01"
"5013","強新","9.75","0.60","3.44","1.02"
"5014","建錩","N/A","0.00","0.00","0.58"
"5015","華祺","9.49","2.00","8.64","1.43"
"5016","松和","13.22","1.20","4.91","1.14"
"5102","富強","16.14","0.70","4.93","1.07"
"5201","凱衛","9.14","1.10","8.59","1.11"
"5202","力新","53.45","0.00","0.00","1.81"
"5205","漢康","N/A","0.00","0.00","3.40"
"5206","坤悅","9.27","0.00","0.00","0.84"
"5209","新鼎","12.84","2.53","5.88","2.03"
"5210","寶碩","32.63","0.00","0.00","0.54"
"5211","蒙恬","31.85","0.59","2.85","1.25"
"5212","凌網","24.01","0.75","3.43","2.08"
"5213","亞昕","4.97","1.10","7.14","0.83"
"5227","F-立凱","N/A","0.00","0.00","2.34"
"5230","雷笛克","18.44","1.60","3.43","1.58"
"5245","智晶","54.63","2.26","1.32","10.00"
"5251","天鉞電","11.52","2.00","6.68","1.27"
"5255","美桀","44.71","0.00","0.00","0.90"
"5263","智崴","111.40","2.50","0.90","4.99"
"5272","笙科","23.05","1.00","2.65","2.42"
"5274","信驊","30.05","8.00","2.48","10.51"
"5276","F-達輝","10.65","2.00","8.46","1.40"
"5278","尚凡","N/A","0.96","3.78","1.46"
"5281","F-大峽","13.49","0.00","0.00","1.99"
"5284","F-jpp","12.43","3.11","4.71","2.20"
"5287","數字","23.41","12.00","4.61","6.15"
"5289","宜鼎","12.08","5.00","4.44","3.36"
"5291","邑昇","34.10","0.30","1.76","0.81"
"5301","寶得利","53.83","1.40","4.06","2.21"
"5302","太欣","N/A","0.00","0.00","0.52"
"5304","鼎創達","N/A","0.00","0.00","1.04"
"5306","桂盟","23.04","2.50","2.07","3.67"
"5309","系統電","4.75","0.00","0.00","1.64"
"5310","天剛","N/A","0.30","1.12","2.20"
"5312","寶島科","12.62","3.60","4.59","2.09"
"5314","世紀","N/A","0.00","0.00","1.00"
"5315","光聯","14.30","0.00","0.00","3.56"
"5317","凱美","41.14","0.00","0.00","1.11"
"5321","友銓","13.08","0.00","0.00","2.72"
"5324","士開","N/A","0.00","0.00","1.23"
"5328","華容","N/A","0.00","0.00","0.60"
"5340","建榮","N/A","0.00","0.00","0.59"
"5344","立衛","N/A","0.00","0.00","0.66"
"5345","天揚","9.51","0.30","2.79","1.15"
"5347","世界","18.10","2.60","4.97","3.23"
"5348","系通","N/A","0.00","0.00","1.52"
"5349","先豐","12.13","2.57","6.26","2.52"
"5351","鈺創","N/A","0.20","1.63","1.17"
"5353","台林","29.86","0.28","2.56","0.81"
"5355","佳總","10.38","0.00","0.00","0.56"
"5356","協益","11.53","4.00","9.13","1.05"
"5364","力麗店","N/A","1.00","2.56","1.95"
"5371","中光電","9.79","1.50","4.52","0.78"
"5381","合正","N/A","0.00","0.00","0.58"
"5383","金利","N/A","0.50","4.98","0.89"
"5384","捷元","31.00","0.50","4.03","0.95"
"5386","青雲","13.69","2.00","7.98","1.91"
"5392","應華","N/A","1.00","2.00","1.16"
"5395","圓方","7.55","0.45","1.39","0.77"
"5398","力瑋","N/A","0.00","0.00","3.74"
"5403","中菲","11.11","1.00","3.63","1.51"
"5410","國眾","9.62","1.22","9.61","1.07"
"5425","台半","16.28","2.50","5.95","1.84"
"5426","振發","13.86","1.00","9.13","0.71"
"5432","達威","13.51","0.00","0.00","1.21"
"5438","東友","9.09","1.00","6.87","0.92"
"5439","高技","10.96","1.60","7.77","1.33"
"5443","均豪","16.63","0.80","4.91","1.17"
"5450","寶聯通","N/A","0.00","0.00","0.96"
