"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"531","1817","凱撒衛","38.7","+0.5","+1.31%","15M04","1.26","-2,000","17.3%","0","0%","0","0","0%","0","0%","1.26","-2,000","17.3%","0","0%"
"532","2311","日月光","43","+0.7","+1.65%","15M04","156.6","0","19.8%","33.37","21.3%","0","0","0%","0","0%","156.6","0","19.8%","33.37","21.3%"
"533","6223","旺矽","86","-0.3","-0.35%","15M04","1.58","0","19.8%","0","0%","0.04","0","0.51%","0","0%","1.62","0","20.3%","0","0%"
"534","8240","華宏","25.8","+0.6","+2.38%","15M04","3.13","0","31.3%","0","0%","0","0","0%","0","0%","3.13","0","31.3%","0","0%"
"535","2062","橋椿","57.7","-0.6","-1.03%","15M04","3.01","-53","18.4%","0","0%","0","0","0%","0","0%","3.01","-53","18.4%","0","0%"
"536","9925","新保","40.95","0","0%","15M04","8.97","0","23.4%","2.35","26.1%","0","0","0%","0","0%","8.97","0","23.4%","2.35","26.1%"
"537","5483","中美晶","38.8","+0.55","+1.44%","15M04","3.81","+120","6.58%","0","0%","0","0","0%","0","0%","3.81","+120","6.58%","0","0%"
"538","1233","天仁","45.35","+0.15","+0.33%","15M04","1.44","0","15.9%","0.37","20%","0","0","0%","0","0%","1.44","0","15.9%","0.37","20%"
"539","5102","富強","15.15","+0.2","+1.34%","15M04","2.88","0","45%","0","0%","0","0","0%","0","0%","2.88","0","45%","0","0%"
"540","4533","協易機","13","-0.1","-0.76%","15M04","1.69","0","10.5%","0","0%","0","0","0%","0","0%","1.69","0","10.5%","0","0%"
"541","2816","旺旺保","25.25","+0.05","+0.2%","15M04","5.2","0","24.4%","0","0%","0","0","0%","0","0%","5.2","0","24.4%","0","0%"
"542","8021","尖點","26.55","-0.2","-0.75%","15M04","1.65","0","10.4%","0.09","5.45%","0","0","0%","0","0%","1.65","0","10.4%","0.09","5.45%"
"543","6451","F-訊芯","163","-2","-1.21%","15M04","6.4","0","60.7%","0","0%","0","0","0%","0","0%","6.4","0","60.7%","0","0%"
"544","6161","捷波","8.7","-0.02","-0.23%","15M04","3.1","0","25.6%","0","0%","0","0","0%","0","0%","3.1","0","25.6%","0","0%"
"545","3526","凡甲","26.1","+0.05","+0.19%","15M04","0.5","0","7.62%","0.01","1.37%","0","0","0%","0","0%","0.5","0","7.62%","0.01","1.37%"
"546","2929","F-淘帝","141.5","+5.5","+4.04%","15M04","0","0","0%","0","0%","0","0","0%","0","0%","0","0","0%","0","0%"
"547","1521","大億","93.7","+0.5","+0.54%","15M04","2.68","0","35.2%","0","0%","0","0","0%","0","0%","2.68","0","35.2%","0","0%"
"548","8928","鉅明","43.6","+0.2","+0.46%","15M04","1.04","-36","20.5%","0","0%","0","0","0%","0","0%","1.04","-36","20.5%","0","0%"
"549","4938","和碩","89.5","+0.9","+1.02%","15M04","15.12","0","5.9%","0","0%","0","0","0%","0","0%","15.12","0","5.9%","0","0%"
"550","6220","岳豐","13.35","+0.05","+0.38%","15M04","2.44","0","18.7%","0","0%","0.04","0","0.27%","0","0%","2.48","0","18.9%","0","0%"
"551","6276","安鈦克","13.1","-0.25","-1.87%","15M04","1.39","0","31.9%","0","0%","0","0","0%","0","0%","1.39","0","31.9%","0","0%"
"552","4935","F-茂林","43.7","-0.15","-0.34%","15M04","2.32","0","16.6%","0","0%","0","0","0%","0","0%","2.32","0","16.6%","0","0%"
"553","9917","中保","87.4","-0.9","-1.02%","15M04","15.94","0","35.3%","1.19","7.45%","0","0","0%","0","0%","15.94","0","35.3%","1.19","7.45%"
"554","9951","皇田","118","0","0%","15M04","1.76","0","23.5%","0.34","19.3%","0","0","0.03%","0","0%","1.77","0","23.6%","0.34","19.2%"
"555","8936","國統","45.9","-0.4","-0.86%","15M04","2.29","-39","12.2%","0","0%","0","0","0%","0","0%","2.29","-39","12.2%","0","0%"
"556","2823","中壽","30.6","+0.75","+2.51%","15M04","7.3","0","2.4%","0","0%","0","0","0%","0","0%","7.3","0","2.4%","0","0%"
"557","4526","東台","26.3","-0.3","-1.13%","15M04","3.33","0","13.3%","0.31","9.29%","0","0","0%","0","0%","3.33","0","13.3%","0.31","9.29%"
"558","8404","F-百和","26.3","0","0%","15M04","11.53","0","51.6%","0","0%","0","0","0%","0","0%","11.53","0","51.6%","0","0%"
"559","3705","永信","54.8","+0.5","+0.92%","15M04","4.48","0","17.7%","0.58","12.9%","0","0","0%","0","0%","4.48","0","17.7%","0.58","12.9%"
"560","8908","欣雄","39.5","-0.3","-0.75%","15M04","8.74","0","70.4%","1.7","19.4%","0","0","0%","0","0%","8.74","0","70.4%","1.7","19.4%"
"561","3306","鼎天","30.85","+0.5","+1.65%","15M04","1.86","0","36.9%","0","0%","0","0","0%","0","0%","1.86","0","36.9%","0","0%"
"562","2383","台光電","55.1","-0.3","-0.54%","15M04","3.27","0","10.3%","0","0%","0","0","0%","0","0%","3.27","0","10.3%","0","0%"
"563","2453","凌群","13.25","-0.15","-1.12%","15M04","2.54","0","25.4%","0","0%","0","0","0%","0","0%","2.54","0","25.4%","0","0%"
"564","6245","立端","44.2","+1","+2.31%","15M04","1.27","-30","14%","0","0%","0","0","0%","0","0%","1.27","-30","14%","0","0%"
"565","8114","振樺電","173.5","+2.5","+1.46%","15M04","0.84","0","12.8%","0","0%","0","0","0%","0","0%","0.84","0","12.8%","0","0%"
"566","6230","超眾","88.5","+0.7","+0.8%","15M04","1.02","0","11.8%","0","0%","0","0","0%","0","0%","1.02","0","11.8%","0","0%"
"567","2103","台橡","33.65","+0.15","+0.45%","15M04","11.45","0","13.9%","1.2","10.5%","0","0","0%","0","0%","11.45","0","13.9%","1.2","10.5%"
"568","1583","程泰","77.5","-0.6","-0.77%","15M04","5.61","+0.26","56.1%","0","0%","0","0","0%","0","0%","5.61","+0.26","56.1%","0","0%"
"569","1507","永大","66.5","-0.2","-0.3%","15M04","5.15","0","12.5%","0.3","5.82%","0","0","0%","0","0%","5.15","0","12.5%","0.3","5.82%"
"570","1709","和益","13.3","+0.3","+2.31%","15M04","9.22","0","21.4%","0.06","0.65%","0","0","0%","0","0%","9.22","0","21.4%","0.06","0.65%"
"571","2926","誠品生","153.5","+1","+0.66%","15M04","2.39","0","53%","0.22","9.33%","0","0","0%","0","0%","2.39","0","53%","0.22","9.33%"
"572","8016","矽創","100","-3","-2.91%","15M04","0.95","0","8.01%","0","0%","0","0","0%","0","0%","0.95","0","8.01%","0","0%"
"573","5383","金利","11.15","+0.05","+0.45%","15M04","2.61","0","36.6%","0.17","6.49%","0","0","0%","0","0%","2.61","0","36.6%","0.17","6.49%"
"574","5403","中菲","22.3","+0.05","+0.22%","15M04","1.02","+110","13.8%","0","0%","0","0","0%","0","0%","1.02","+110","13.8%","0","0%"
"575","4909","新復興","29","+0.15","+0.52%","15M04","0.7","-1,200","7.48%","0.1","10.5%","0","0","0%","0","0%","0.7","-1,200","7.48%","0.1","10.5%"
"576","4416","三圓","100.5","0","0%","15M04","1.11","0","18.5%","0","0%","0","0","0%","0","0%","1.11","0","18.5%","0","0%"
"577","4745","F-合富","86","+0.8","+0.94%","15M04","1.38","0","24.5%","0.36","26.1%","0.03","0","0.49%","0","0%","1.4","0","25%","0.36","25.6%"
"578","2850","新產","23.9","-0.1","-0.42%","15M04","2.27","0","7.18%","0.8","35.1%","0","0","0%","0","0%","2.27","0","7.18%","0.8","35.1%"
"579","1537","廣隆","145.5","+1.5","+1.04%","15M04","1.48","0","18.1%","0","0%","0","0","0%","0","0%","1.48","0","18.1%","0","0%"
"580","2317","鴻海","96.5","-0.5","-0.52%","15M03","191.2","-46","12.9%","47.73","23.7%","0","0","0%","0","0%","191.2","-46","12.9%","47.73","23.7%"
"581","2732","六角","101","-3","-2.88%","15M04","0.68","0","25.5%","0","0%","0","0","0%","0","0%","0.68","0","25.5%","0","0%"
"582","3122","笙泉","22.45","-0.1","-0.44%","15M04","0.6","0","15.3%","0","0%","0","0","0%","0","0%","0.6","0","15.3%","0","0%"
"583","2352","佳世達","13.5","+0.05","+0.37%","15M04","36.13","0","18.4%","0","0%","0","0","0%","0","0%","36.13","0","18.4%","0","0%"
"584","3130","一零四","158","-1","-0.63%","15M04","0.64","0","19.3%","0.04","6.24%","0","0","0%","0","0%","0.64","0","19.3%","0.04","6.24%"
"585","2115","F-六暉","49.7","-0.25","-0.5%","15M04","1.6","+302","18.5%","0","0%","0","0","0%","0","0%","1.6","+302","18.5%","0","0%"
"586","2497","怡利電","67.8","+0.2","+0.3%","15M04","3.13","0","26.3%","0","0%","0","0","0%","0","0%","3.13","0","26.3%","0","0%"
"587","3189","景碩","90.5","+1.1","+1.23%","15M04","11.63","-20","26.1%","0","0%","0","0","0%","0","0%","11.63","-20","26.1%","0","0%"
"588","1726","永記","86","-0.8","-0.92%","15M04","7.12","0","44%","0.15","2.1%","0","0","0%","0","0%","7.12","0","44%","0.15","2.1%"
"589","1565","精華","542","+2","+0.37%","15M04","0.49","-18","9.64%","0","0%","0","0","0%","0","0%","0.49","-18","9.64%","0","0%"
"590","2204","中華","26.15","+0.15","+0.58%","15M04","72.58","0","52.4%","4.23","5.82%","0","0","0%","0","0%","72.58","0","52.4%","4.23","5.82%"
"591","9933","中鼎","51","-0.2","-0.39%","15M04","6.21","0","8.19%","0","0%","0","0","0%","0","0%","6.21","0","8.19%","0","0%"
"592","2010","春源","11.4","0","0%","15M04","17.36","0","26.8%","0","0%","0","0","0%","0","0%","17.36","0","26.8%","0","0%"
"593","6270","倍微","12.55","0","0%","15M04","0.83","0","11.3%","0","0%","0","0","0%","0","0%","0.83","0","11.3%","0","0%"
"594","3570","大塚","91.3","-1.6","-1.72%","15M04","0.75","-19","43.8%","0","0%","0","0","0%","0","0%","0.75","-19","43.8%","0","0%"
"595","3548","兆利","27.45","+0.25","+0.92%","15M04","0.79","0","15.6%","0","0%","0","0","0%","0","0%","0.79","0","15.6%","0","0%"
"596","6286","立錡","172","-1.5","-0.86%","15M04","1.37","0","9.2%","0","0%","0","0","0%","0","0%","1.37","0","9.2%","0","0%"
"597","8083","瑞穎","172","+1.5","+0.88%","15M04","1.09","-104","31%","0","0%","0","0","0%","0","0%","1.09","-104","31%","0","0%"
"598","3206","志豐","22.95","0","0%","15M04","0.93","0","22.5%","0.11","11.6%","0","0","0%","0","0%","0.93","0","22.5%","0.11","11.6%"
"599","2712","遠雄來","23","+0.6","+2.68%","15M04","5.46","0","52%","0","0%","0","0","0%","0","0%","5.46","0","52%","0","0%"
"600","5529","志嘉","11.5","+0.5","+4.55%","15M04","2.55","0","25.1%","0","0%","0","0","0%","0","0%","2.55","0","25.1%","0","0%"
"601","4154","F-康樂","23.05","+0.05","+0.22%","15M04","0","0","0%","0","0%","0","0","0%","0","0%","0","0","0%","0","0%"
"602","8942","森鉅","92.2","+0.2","+0.22%","15M04","2.46","-63","15.9%","0.87","31.1%","0.02","0","0.1%","0","0%","2.48","-63","16%","0.87","30.9%"
"603","3093","港建","39.2","+0.8","+2.08%","15M04","2.53","0","69.8%","0","0%","0","0","0%","0","0%","2.53","0","69.8%","0","0%"
"604","2903","遠百","23.1","+0.15","+0.65%","15M04","33.98","0","23.6%","0","0%","0","0","0%","0","0%","33.98","0","23.6%","0","0%"
"605","4711","永純","13.9","0","0%","15M04","1.82","0","29.8%","0","0%","0","0","0%","0","0%","1.82","0","29.8%","0","0%"
"606","3094","聯傑","26.65","+0.3","+1.14%","15M04","0.57","0","6.91%","0","0%","0","0","0.04%","0","0%","0.58","0","6.94%","0","0%"
"607","2468","華經","11.6","0","0%","15M04","4.63","0","66.2%","0","0%","0","0","0%","0","0%","4.63","0","66.2%","0","0%"
"608","3605","宏致","27.85","+0.2","+0.72%","15M04","1.43","0","11.5%","0.34","20.8%","0","0","0%","0","0%","1.43","0","11.5%","0.34","20.8%"
"609","5530","龍巖","83.6","+1.1","+1.33%","15M04","4.21","-18,489","10.6%","0","0%","0","0","0%","0","0%","4.21","-18,489","10.6%","0","0%"
"610","8432","東生華","46.45","+0.8","+1.75%","15M04","2.24","+138","58.4%","0","0%","0","0","0%","0","0%","2.24","+138","58.4%","0","0%"
"611","2105","正新","69.7","-0.2","-0.29%","15M04","56.98","0","17.6%","0","0%","0","0","0%","0","0%","56.98","0","17.6%","0","0%"
"612","8422","可寧衛","186","-2","-1.06%","15M04","2.93","0","26.9%","0","0%","0","0","0.01%","0","0%","2.93","0","26.9%","0","0%"
"613","1725","元禎","14.55","-0.45","-3%","15M04","2.11","0","11.6%","0","0%","0","0","0%","0","0%","2.11","0","11.6%","0","0%"
"614","8929","富堡","27.95","-0.15","-0.53%","15M04","1.14","0","32.6%","0","0%","0","0","0%","0","0%","1.14","0","32.6%","0","0%"
"615","3058","立德","11.7","0","0%","15M04","1.19","0","6.91%","0.06","3.32%","0","0","0%","0","0%","1.19","0","6.91%","0.06","3.32%"
"616","5515","建國","11.7","-0.05","-0.43%","15M04","7.53","0","21.2%","2.11","28%","0","0","0%","0","0%","7.53","0","21.2%","2.11","28%"
"617","5284","F-jpp","56.2","0","0%","15M04","0.02","0","0.5%","0","0%","0","0","0%","0","0%","0.02","0","0.5%","0","0%"
"618","8416","實威","129","-1","-0.77%","15M04","0.52","0","20.4%","0","0%","0","0","0.06%","0","0%","0.52","0","20.4%","0","0%"
"619","4534","慶騰","14.1","+0.25","+1.81%","15M04","1.7","-18","21.2%","0","0%","0","0","0%","0","0%","1.7","-18","21.2%","0","0%"
"620","4919","新唐","28.2","-0.05","-0.18%","15M04","12.87","0","62%","0","0%","0","0","0%","0","0%","12.87","0","62%","0","0%"
"621","8996","高力","51.8","0","0%","15M04","0.69","0","8.51%","0.02","2.24%","0","0","0%","0","0%","0.69","0","8.51%","0.02","2.24%"
"622","2611","志信","9.45","-0.05","-0.53%","15M04","6.54","-146","37.6%","2.29","35%","0","0","0%","0","0%","6.54","-146","37.6%","2.29","35%"
"623","8287","英格爾","21.35","-0.2","-0.93%","15M04","0.44","0","3.39%","0.24","53.8%","0","0","0%","0","0%","0.44","0","3.39%","0.24","53.8%"
"624","2009","第一銅","9.49","+0.03","+0.32%","15M04","14.45","0","40.2%","0","0%","0","0","0%","0","0%","14.45","0","40.2%","0","0%"
"625","3611","鼎翰","237.5","+1.5","+0.64%","15M04","1.42","0","40.5%","0","0%","0","0","0%","0","0%","1.42","0","40.5%","0","0%"
"626","2701","萬企","15.7","0","0%","15M04","15.13","0","39.9%","0","0%","0","0","0%","0","0%","15.13","0","39.9%","0","0%"
"627","4915","致伸","42.9","+0.25","+0.59%","15M03","2.48","-10","5.66%","0.23","9.4%","0","0","0%","0","0%","2.48","-10","5.66%","0.23","9.4%"
"628","1203","味王","23.85","-0.3","-1.24%","15M04","5.29","0","22%","0.48","9.05%","0","0","0%","0","0%","5.29","0","22%","0.48","9.05%"
"629","8048","德勝","35.85","+0.15","+0.42%","15M04","0.85","0","16.1%","0","0%","0","0","0%","0","0%","0.85","0","16.1%","0","0%"
"630","6426","統新","35.9","+0.65","+1.84%","15M04","0.55","0","17.1%","0","0%","0","0","0%","0","0%","0.55","0","17.1%","0","0%"
"631","2369","菱生","12.6","+0.3","+2.44%","15M04","2.1","0","5.53%","0.5","23.8%","0","0","0%","0","0%","2.1","0","5.53%","0.5","23.8%"
"632","1210","大成","23.95","-0.25","-1.03%","15M04","11.64","0","15.8%","0.57","4.91%","0","0","0%","0","0%","11.64","0","15.8%","0.57","4.91%"
"633","9908","大台北","23.95","0","0%","15M04","12.01","0","23.3%","1.05","8.74%","0","0","0%","0","0%","12.01","0","23.3%","1.05","8.74%"
"634","2612","中航","31.15","-0.2","-0.64%","15M04","4.87","0","19%","0.71","14.6%","0","0","0%","0","0%","4.87","0","19%","0.71","14.6%"
"635","1722","台肥","52.8","+0.6","+1.15%","15M04","26.15","+3,344","26.7%","0","0%","0","0","0%","0","0%","26.15","+3,344","26.7%","0","0%"
"636","1532","勤美","28.8","+0.25","+0.88%","15M04","11.27","+133","28.6%","4.89","43.4%","0","0","0%","0","0%","11.27","+133","28.6%","4.89","43.4%"
"637","3533","嘉澤","132","-1","-0.75%","15M04","2.19","0","23.4%","0","0%","0","0","0%","0","0%","2.19","0","23.4%","0","0%"
"638","4716","大立","12","0","0%","15M04","1.16","+15","16.1%","0","0%","0","0","0%","0","0%","1.16","+15","16.1%","0","0%"
"639","5905","南仁湖","12","0","0%","15M04","2.96","0","14.5%","0.18","6.08%","0.01","0","0.04%","0","0%","2.97","0","14.5%","0.18","6.06%"
"640","1104","環泥","28.85","-0.1","-0.35%","15M04","23.04","0","37.4%","0","0%","0","0","0%","0","0%","23.04","0","37.4%","0","0%"
"641","2706","第一店","21.65","+0.1","+0.46%","15M04","8.97","0","22.9%","0","0%","0","0","0%","0","0%","8.97","0","22.9%","0","0%"
"642","9940","信義","31.35","+0.15","+0.48%","15M04","18.58","0","30.3%","0.26","1.42%","0","0","0%","0","0%","18.58","0","30.3%","0.26","1.42%"
"643","3268","海德威","24.2","+0.1","+0.41%","15M04","0.47","0","15.5%","0","0%","0","0","0%","0","0%","0.47","0","15.5%","0","0%"
"644","3522","宏森","12.1","+0.05","+0.41%","15M04","0.65","0","13.7%","0","0%","0","0","0%","0","0%","0.65","0","13.7%","0","0%"
"645","6204","艾華","24.2","-0.05","-0.21%","15M04","0.99","0","27.5%","0","0%","0","0","0%","0","0%","0.99","0","27.5%","0","0%"
"646","2605","新興","24.25","+0.3","+1.25%","15M04","3.03","0","5.32%","0","0%","0","0","0%","0","0%","3.03","0","5.32%","0","0%"
"647","1402","遠東新","34","+0.6","+1.8%","15M04","137.9","0","26.3%","19.21","13.6%","0","0","0%","0","0%","137.9","0","26.3%","19.21","13.6%"
"648","3698","隆達","25.75","+0.65","+2.59%","15M04","8.64","0","13.9%","0.1","1.18%","0","0","0%","0","0%","8.64","0","13.9%","0.1","1.18%"
"649","5512","力麒","12.15","-0.05","-0.41%","15M04","6.24","0","8.28%","0","0%","0","0","0%","0","0%","6.24","0","8.28%","0","0%"
"650","5871","F-中租","77.9","+0.2","+0.26%","15M04","7.35","0","6.71%","0","0%","0","0","0%","0","0%","7.35","0","6.71%","0","0%"
"651","3484","崧騰","68.2","+1.4","+2.1%","15M04","0.56","+60","8.83%","0.09","16.2%","0.02","-4","0.24%","0","0%","0.57","+56","9.08%","0.09","15.8%"
"652","5312","寶島科","88","-0.2","-0.23%","15M04","1.92","-5","32%","0.01","0.64%","0","0","0%","0","0%","1.92","-5","32%","0.01","0.64%"
"653","1731","美吾華","14.7","+0.1","+0.68%","15M04","3.13","+177","23.6%","0","0%","0.01","0","0.08%","0","0%","3.14","+177","23.6%","0","0%"
"654","2235","謚源","98","+1","+1.03%","15M04","1.35","0","42.4%","0","0%","0","0","0%","0","0%","1.35","0","42.4%","0","0%"
"655","8433","弘帆","85.8","+1.1","+1.3%","15M04","2","0","38%","0.4","20%","0","0","0%","0","0%","2","0","38%","0.4","20%"
"656","4207","環泰","11.05","0","0%","15M04","3.91","0","23.1%","1.77","45.3%","0","0","0%","0","0%","3.91","0","23.1%","1.77","45.3%"
"657","1307","三芳","46.7","-0.85","-1.79%","15M04","13.28","0","35.4%","1.01","7.61%","0","0","0%","0","0%","13.28","0","35.4%","1.01","7.61%"
"658","1737","臺鹽","24.6","+0.3","+1.23%","15M04","7.94","+10","39.7%","0","0%","0","0","0%","0","0%","7.94","+10","39.7%","0","0%"
"659","1434","福懋","34.55","+0.95","+2.83%","15M04","65.1","0","38.6%","0.78","1.2%","0","0","0%","0","0%","65.1","0","38.6%","0.78","1.2%"
"660","6183","關貿","27.2","+0.2","+0.74%","15M04","7.51","0","50.1%","0.2","2.66%","0","0","0%","0","0%","7.51","0","50.1%","0.2","2.66%"
"661","4137","F-麗豐","173.5","-3.5","-1.98%","15M04","2.81","0","35.3%","0","0%","0","0","0%","0","0%","2.81","0","35.3%","0","0%"
"662","5287","數字","385","+2","+0.52%","15M04","0.76","0","24%","0.02","3.1%","0","0","0%","0","0%","0.76","0","24%","0.02","3.1%"
"663","8147","正淩","49.7","-0.4","-0.8%","15M04","0.57","0","26.8%","0","0%","0","0","0%","0","0%","0.57","0","26.8%","0","0%"
"664","2849","安泰銀","14.95","+0.1","+0.67%","15M04","34.27","0","20.4%","31.65","92.3%","0","0","0%","0","0%","34.27","0","20.4%","31.65","92.3%"
"665","3577","泓格","37.4","+0.2","+0.54%","15M04","1.12","+8.03","25.7%","0","0%","0.01","0","0.14%","0","0%","1.13","+8.03","25.8%","0","0%"
"666","3652","精聯","19.95","-0.15","-0.75%","15M04","2.79","0","59.6%","0","0%","0","0","0%","0","0%","2.79","0","59.6%","0","0%"
"667","1315","達新","27.45","-0.05","-0.18%","15M04","5.41","0","27.3%","1.37","25.4%","0","0","0%","0","0%","5.41","0","27.3%","1.37","25.4%"
"668","1235","興泰","20","+0.15","+0.76%","15M04","0.34","0","6.12%","0","0%","0","0","0%","0","0%","0.34","0","6.12%","0","0%"
"669","2504","國產","10","0","0%","15M04","9.19","0","6.05%","1.41","15.4%","0.01","0","0%","0","0%","9.2","0","6.05%","1.41","15.4%"
"670","6432","今展科","52.6","+3.4","+6.91%","15M04","0.7","0","40.6%","0","0%","0","0","0%","0","0%","0.7","0","40.6%","0","0%"
"671","5305","敦南","25.05","+0.35","+1.42%","15M04","2.08","0","6.59%","0","0%","0","0","0.01%","0","0%","2.08","0","6.59%","0","0%"
"672","4153","鈺緯","116","-1","-0.85%","15M04","0.75","0","23.9%","0","0%","0","0","0.02%","0","0%","0.75","0","23.9%","0","0%"
"673","1591","F-駿吉","30.1","-0.4","-1.31%","15M04","0.76","0","28.4%","0","0%","0","0","0%","0","0%","0.76","0","28.4%","0","0%"
"674","5317","凱美","12.55","-0.05","-0.4%","15M04","3.7","+52","27.1%","0","0%","0","0","0%","0","0%","3.7","+52","27.1%","0","0%"
"675","6133","金橋","10.05","-0.05","-0.5%","15M04","2.98","-52","25.5%","0.22","7.04%","0","0","0%","0","0%","2.98","-52","25.5%","0.22","7.04%"
"676","4205","中華食","37.7","+0.05","+0.13%","15M04","1.97","-775","27%","0","0%","0","0","0%","0","0%","1.97","-775","27%","0","0%"
"677","5706","鳳凰","50.4","-0.4","-0.79%","15M04","1.22","0","20%","0.25","20.1%","0","0","0%","0","0%","1.22","0","20%","0.25","20.1%"
"678","2355","敬鵬","55.5","+0.5","+0.91%","15M04","5.67","0","14.3%","0","0%","0","0","0%","0","0%","5.67","0","14.3%","0","0%"
"679","3376","新日興","101","+2.7","+2.75%","15M04","2.79","0","15.6%","0.53","19%","0","0","0%","0","0%","2.79","0","15.6%","0.53","19%"
"680","2303","聯電","13.9","+0.1","+0.72%","15M04","78.38","+180","6.15%","17.52","22.4%","0","0","0%","0","0%","78.38","+180","6.15%","17.52","22.4%"
"681","8072","陞泰","36.2","+0.8","+2.26%","15M04","3.92","0","39.2%","0","0%","0","0","0%","0","0%","3.92","0","39.2%","0","0%"
"682","3041","揚智","20","0","0%","15M04","0.11","0","0.37%","0","0%","0","0","0%","0","0%","0.11","0","0.37%","0","0%"
"683","1777","生泰","76","+0.3","+0.4%","15M04","0.77","0","25.8%","0","0%","0","0","0.03%","0","0%","0.78","0","25.8%","0","0%"
"684","6194","育富","19","+0.15","+0.8%","15M04","2.09","+37","20.9%","0","0%","0","0","0%","0","0%","2.09","+37","20.9%","0","0%"
"685","1409","新纖","10.65","0","0%","15M04","9.46","0","5.7%","8","84.6%","0","0","0%","0","0%","9.46","0","5.7%","8","84.6%"
"686","2913","農林","16.75","+0.15","+0.9%","15M04","5.59","+180","7.76%","0.21","3.8%","0","0","0%","0","0%","5.59","+180","7.76%","0.21","3.8%"
"687","1711","永光","25.4","+0.05","+0.2%","15M04","11.25","0","22.6%","0","0%","0","0","0%","0","0%","11.25","0","22.6%","0","0%"
"688","2729","瓦城","254","+3","+1.2%","15M04","1.18","0","50.7%","0","0%","0","0","0%","0","0%","1.18","0","50.7%","0","0%"
"689","6125","廣運","12.7","+0.35","+2.83%","15M04","6.15","0","24.2%","0","0%","0","0","0%","0","0%","6.15","0","24.2%","0","0%"
"690","3481","群創","17.8","0","0%","15M04","23.21","-60","2.33%","0.4","1.72%","0","0","0%","0","0%","23.21","-60","2.33%","0.4","1.72%"
"691","2308","台達電","170.5","+0.5","+0.29%","15M04","15.33","0","6.29%","0","0%","0","0","0%","0","0%","15.33","0","6.29%","0","0%"
"692","2002","中鋼","25.5","+0.05","+0.2%","15M04","323.8","0","20.5%","0.95","0.29%","0","0","0%","0","0%","323.8","0","20.5%","0.95","0.29%"
"693","8349","恒耀","102","0","0%","15M04","4.03","0","44%","0.31","7.67%","0","0","0%","0","0%","4.03","0","44%","0.31","7.67%"
"694","8930","青鋼","12.75","+0.2","+1.59%","15M04","1.77","0","25.2%","0","0%","0","0","0%","0","0%","1.77","0","25.2%","0","0%"
"695","9942","茂順","102","-1","-0.97%","15M04","1.4","0","16.9%","0","0%","0","0","0%","0","0%","1.4","0","16.9%","0","0%"
"696","8299","群聯","286","+3.5","+1.24%","15M04","3.61","-38","18.3%","0.62","17%","0","0","0%","0","0%","3.61","-38","18.3%","0.62","17%"
"697","1504","東元","28.1","-0.1","-0.35%","15M04","16.78","0","8.38%","4.47","26.6%","0","0","0%","0","0%","16.78","0","8.38%","4.47","26.6%"
"698","5474","聰泰","89.5","-0.7","-0.78%","15M04","0.59","0","17.6%","0","0%","0","0","0%","0","0%","0.59","0","17.6%","0","0%"
"699","4164","承業醫","51.2","-0.1","-0.19%","15M04","3.66","0","28%","1.51","41.3%","0","0","0%","0","0%","3.66","0","28%","1.51","41.3%"
"700","8024","佑華","12.8","-0.2","-1.54%","15M04","0.77","0","16.3%","0","0%","0","0","0%","0","0%","0.77","0","16.3%","0","0%"
"701","4175","杏一","82","+1.5","+1.86%","15M04","1.1","0","43.5%","0","0%","0","0","0%","0","0%","1.1","0","43.5%","0","0%"
"702","1459","聯發","14.15","-0.45","-3.08%","15M04","5.8","0","16.2%","2.42","40.5%","0","0","0%","0","0%","5.8","0","16.2%","2.42","40.5%"
"703","8066","來思達","103","-1","-0.96%","15M04","0.61","-77","29.1%","0","0%","0","0","0%","0","0%","0.61","-77","29.1%","0","0%"
"704","2702","華園","16.75","+0.05","+0.3%","15M03","1.9","0","21.1%","0.6","31.6%","0","0","0%","0","0%","1.9","0","21.1%","0.6","31.6%"
"705","6605","帝寶","116","+2","+1.75%","15M04","3.6","0","21.7%","0","0%","0.01","0","0.05%","0","0%","3.61","0","21.8%","0","0%"
"706","2608","大榮","38.7","0","0%","15M04","3.58","0","7.4%","0","0%","0","0","0%","0","0%","3.58","0","7.4%","0","0%"
"707","3234","光環","69.7","+1.4","+2.05%","15M04","0.93","0","9.24%","0","0%","0","0","0%","0","0%","0.93","0","9.24%","0","0%"
"708","4126","太醫","64.6","+0.3","+0.47%","15M04","0.73","0","11.1%","0","0%","0","0","0%","0","0%","0.73","0","11.1%","0","0%"
"709","3665","F-貿聯","142.5","+1","+0.71%","15M04","0.73","0","8.41%","0.32","15.3%","0.02","0","0.2%","0","0%","0.75","0","8.61%","0.32","15.1%"
"710","2832","台產","23.35","0","0%","15M03","8.88","0","24.4%","1.19","13.4%","0","0","0%","0","0%","8.88","0","24.4%","1.19","13.4%"
"711","5355","佳總","9.12","+0.12","+1.33%","15M04","2.31","-1,359","13.3%","0","0%","0","0","0%","0","0%","2.31","-1,359","13.3%","0","0%"
