"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"295","2414","精技","19.85","+0.25","+1.28%","15M04","3","+2,585","18.6%","0.86","28.8%","0","0","0%","0","0%","3","+2,585","18.6%","0.86","28.8%"
"296","4974","亞泰","44.75","-0.1","-0.22%","15M04","1.95","0","31.5%","0","0%","0","0","0%","0","0%","1.95","0","31.5%","0","0%"
"297","3010","華立","54.7","-0.4","-0.73%","15M04","2.94","0","12.7%","0","0%","0","0","0%","0","0%","2.94","0","12.7%","0","0%"
"298","4510","高鋒","19.9","+0.15","+0.76%","15M04","1.98","0","18.3%","1.1","55.6%","0","0","0%","0","0%","1.98","0","18.3%","1.1","55.6%"
"299","8155","博智","33.2","+0.4","+1.22%","15M04","1.4","-36","27.2%","0","0%","0","0","0%","0","0%","1.4","-36","27.2%","0","0%"
"300","2325","矽品","49.9","-0.6","-1.19%","15M04","14.99","-1,000","4.81%","0","0%","0","0","0%","0","0%","14.99","-1,000","4.81%","0","0%"
"301","3213","茂訊","51.6","+0.2","+0.39%","15M04","0.62","0","10.6%","0","0%","0.01","0","0.11%","0","0%","0.63","0","10.7%","0","0%"
"302","5011","久陽","26.75","+0.85","+3.28%","15M04","0.86","0","25.6%","0","0%","0","0","0%","0","0%","0.86","0","25.6%","0","0%"
"303","2324","仁寶","25.1","-0.4","-1.57%","15M03","28.94","-253","6.54%","0.84","2.89%","0","0","0%","0","0%","28.94","-253","6.54%","0.84","2.89%"
"304","3479","安勤","46.9","0","0%","15M04","1.18","-40","17.2%","0","0%","0","0","0%","0","0%","1.18","-40","17.2%","0","0%"
"305","1101","台泥","41.75","+0.05","+0.12%","15M04","44.47","0","12%","9","20.2%","0","0","0%","0","0%","44.47","0","12%","9","20.2%"
"306","3005","神基","21.8","-0.4","-1.8%","15M04","19.97","0","34.3%","0","0%","0","0","0%","0","0%","19.97","0","34.3%","0","0%"
"307","6282","康舒","26.85","-0.05","-0.19%","15M04","12.7","0","24.1%","0","0%","0.03","0","0.05%","0","0%","12.72","0","24.2%","0","0%"
"308","1599","宏佳騰","32.75","+0.45","+1.39%","15M04","0.75","0","16.7%","0","0%","0","0","0%","0","0%","0.75","0","16.7%","0","0%"
"309","5443","均豪","13.45","+0.25","+1.89%","15M04","2.99","0","17.6%","0","0%","0","0","0%","0","0%","2.99","0","17.6%","0","0%"
"310","2415","錩新","16.85","+0.15","+0.9%","15M04","1.3","0","14.3%","0.28","21.1%","0","0","0%","0","0%","1.3","0","14.3%","0.28","21.1%"
"311","3537","堡達","20.3","-0.45","-2.17%","15M04","0.88","0","18.1%","0","0%","0","0","0%","0","0%","0.88","0","18.1%","0","0%"
"312","6227","茂綸","15.25","+0.05","+0.33%","15M04","4.58","0","60.1%","0","0%","0","0","0%","0","0%","4.58","0","60.1%","0","0%"
"313","3628","盈正","67.8","-0.5","-0.73%","15M04","2.75","0","61.1%","0.13","4.72%","0","0","0%","0","0%","2.75","0","61.1%","0.13","4.72%"
