"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"1042","1414","東和","8.1","-0.03","-0.37%","2014","0%","0","3.5%","-0.6","0%","0","34.5%","+5.24","62%","-4.65","0%","0"
"1043","5439","高技","22.65","+0.35","+1.57%","2015","0%","0","0.2%","+0.12","0%","+0.02","10.8%","+0.41","89%","-0.55","0%","0"
"1044","1465","偉全","17","+0.3","+1.8%","2015","0%","0","0.4%","+0.2","13.1%","+5.27","7.3%","+0.41","79.3%","-5.88","0%","0"
"1045","3046","建碁","14.8","-0.05","-0.34%","2014","0%","0","5.9%","-0.27","0%","0","31.2%","-1.38","62.9%","+1.65","0%","0"
"1046","5601","台聯櫃","27","0","0%","2014","0%","0","2.5%","+2.55","0%","0","23.6%","+0.93","73.9%","-3.48","0%","0"
"1047","1730","花仙子","32.65","+1","+3.16%","2014","0%","0","6.6%","+0.76","3.7%","+3.74","16.1%","+0.88","73.6%","-5.38","0%","0"
"1048","2488","漢平","21.8","0","0%","2015","0%","0","1.4%","+0.26","7.3%","+2.92","23.6%","-3.74","67.6%","+0.55","0%","0"
"1049","4729","熒茂","17.1","+0.4","+2.4%","2014","0%","0","0.1%","+0.06","0%","0","47.2%","+0.34","52.7%","-0.4","0%","0"
"1050","3221","台嘉碩","20.2","+0.35","+1.76%","2014","0%","0","0.1%","+0.05","5.1%","+1.8","11.7%","-2.6","81.7%","+0.78","1.4%","-0.03"
"1051","1454","台富","12.35","-0.45","-3.52%","2015","0%","0","0.4%","+0.29","0%","0","22.5%","+0.27","77.1%","-0.56","0%","0"
"1052","5481","華韡","17.8","-0.05","-0.28%","2015","0%","0","0.3%","-0.52","0%","0","18.4%","+6.2","81.4%","-5.67","0%","0"
"1053","3526","凡甲","26.1","+0.05","+0.19%","2014","0%","0","0.2%","-0.2","0%","0","14.8%","+0.19","84.6%","+0.66","0.3%","-0.65"
"1054","2442","新美齊","9.41","-0.48","-4.85%","2015","0%","0","0.4%","+0.15","0%","0","55.2%","-0.25","44.5%","+0.11","0%","0"
"1055","8074","鉅橡","26.5","0","0%","2015","0%","0","0%","-0.65","0%","-0.65","16%","+1.97","80.4%","-0.57","3.6%","-0.11"
