排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
908,2425,承啟,2014,0%,3.9%,0%,58.2%,37.9%,0%
909,3622,洋華,2014,0%,11.5%,0%,24.7%,63.7%,0%
910,2483,百容,2014,0%,1%,0.1%,16.1%,80.9%,1.9%
911,8107,大億科,2014,0%,1.4%,0%,43.4%,54.3%,0.9%
912,6207,雷科,2014,0%,1.4%,0%,21.8%,76.8%,0%
913,8933,愛地雅,2014,0%,0.6%,4.7%,16.9%,77.8%,0%
914,4755,三福化,2014,0%,33.1%,0.8%,25.7%,40.4%,0%
915,5215,F-科嘉,2015,0%,47.5%,0%,0.2%,52.3%,0%
916,6201,亞弘電,2014,0%,0.1%,0%,6.4%,93.5%,0%
917,6609,瀧澤科,2014,0%,52.4%,7%,3.1%,37.5%,0%
918,3694,海華,2014,0%,1.1%,6.1%,50.3%,42.4%,0%
920,3363,上詮,2015,0%,0.5%,0.6%,10.9%,88%,0%
921,5443,均豪,2014,0%,2.3%,2.5%,17.5%,77.7%,0%
922,1777,生泰,2014,0%,0%,0%,31.6%,68.4%,0%
924,5013,強新,2014,0%,0.1%,3.4%,11.9%,84.7%,0%
925,3294,英濟,2014,0%,7.4%,0.7%,32.8%,59.1%,0%
926,3587,閎康,2014,0%,1.9%,0.5%,42.8%,54.9%,0%
927,6173,信昌電,2014,0%,0.1%,0.7%,46%,52.7%,0.5%
928,3047,訊舟,2014,0%,3.6%,1.4%,5.8%,89.2%,0%
929,2431,聯昌,2015,0%,0.6%,0%,35%,64.3%,0%
930,6210,慶生,2014,0%,0.1%,0%,1.5%,98.4%,0%
931,4138,曜亞,2014,0%,0.7%,0%,55%,44.2%,0%
932,2462,良得電,2014,0%,1.3%,0%,14.2%,84.4%,0%
933,3528,安馳,2015,0%,10.6%,0%,0.9%,88.5%,0%
934,3623,富晶通,2014,0%,5.6%,16.1%,42%,36.3%,0%
935,3054,萬國,2014,0%,0.4%,0%,15.6%,84%,0%
936,6216,居易,2014,0%,3.6%,3.9%,0.1%,92.4%,0%
937,5465,富驊,2014,0%,0%,0%,62.5%,37.4%,0%
938,3094,聯傑,2014,0%,2.2%,0%,6.1%,89%,2.7%
940,6422,F-君耀,2014,0%,76.5%,0.2%,5.4%,18%,0%
941,8064,東捷,2014,0%,0.6%,0%,29.4%,70%,0%
942,4414,如興,2014,0%,4.7%,0%,22%,73.3%,0%
943,3164,景岳,2014,0%,0.9%,0%,0.7%,98.4%,0%
944,3494,誠研,2014,0%,10.1%,0%,9.9%,80%,0%
945,8066,來思達,2014,0%,40.2%,0%,20.7%,39.1%,0%
947,8096,擎亞,2014,0%,19.5%,0%,12.1%,68.5%,0%
948,3563,牧德,2015,0%,6.6%,1.1%,18.8%,73.5%,0%
949,4707,磐亞,2014,0%,0.1%,0%,63.2%,33.4%,3.3%
950,3338,泰碩,2014,0%,0.1%,0%,1.1%,98.7%,0%
951,1799,紅電醫,2014,0%,18%,0%,16.6%,65.3%,0%
952,4510,高鋒,2014,0%,4%,2.4%,25.5%,68.2%,0%
953,5395,圓方,2014,0%,4.3%,0%,47.7%,48%,0%
954,6179,亞通,2014,0%,1.3%,0%,28.5%,70.2%,0%
955,8924,大田,2014,0%,4%,0%,12.9%,83.1%,0%
956,6217,中探針,2014,0%,39.2%,1.1%,2%,57.7%,0%
957,2017,官田鋼,2014,0%,3.5%,0.7%,29.6%,65.9%,0.3%
958,3064,泰偉,2014,0%,0.1%,0%,12.8%,87%,0%
959,8905,裕國,2015,0%,0.3%,0%,57.5%,42.2%,0%
960,1597,直得,2014,0%,1.2%,0%,7.6%,91.1%,0%
961,8426,F-紅木,2014,0%,67.2%,0.3%,3.6%,29%,0%
962,1724,台硝,2014,0%,6.3%,0%,50.5%,43.1%,0%
963,1325,恆大,2014,0%,0.5%,0%,31.3%,68.1%,0%
964,3584,介面,2014,0%,3.2%,0%,10.2%,86.6%,0%
965,1259,安心,2014,0%,30.5%,1.6%,45.9%,22%,0%
966,2417,圓剛,2014,0%,6.6%,0%,3.4%,88.8%,1.2%
967,5426,振發,2014,0%,0.2%,1.3%,1%,97.5%,0%
970,4987,科誠,2014,0%,3.1%,13.7%,14.6%,68.5%,0%
971,8358,金居,2015,0%,3.4%,0.3%,42.3%,53.9%,0%
972,6404,F-通訊,2015,0%,40%,2.3%,12.4%,45.3%,0%
973,4533,協易機,2014,0%,1.5%,0%,15.3%,81.1%,2.1%
974,4430,耀億,2014,0%,2.3%,0.3%,14.9%,82.5%,0%
975,4175,杏一,2014,0%,0.1%,0.3%,38.3%,61.3%,0%
976,1783,和康生,2014,0%,6.7%,2.1%,34.3%,56.9%,0%
977,3218,大學光,2015,0%,1.1%,0%,2.6%,96.3%,0%
978,3687,歐買尬,2014,0%,2.9%,0%,21.3%,75.9%,0%
979,8443,阿瘦,-,0%,0%,0%,0%,0%,0%
980,6405,悅城,2014,0%,0.3%,0.2%,22.9%,76.6%,0%
981,3523,迎輝,2014,0%,17.6%,0%,25.9%,54.7%,1.9%
982,2443,新利虹,2015,0%,1.9%,0%,11%,87.1%,0%
983,3527,聚積,2014,0%,4.5%,5.2%,5.3%,85%,0%
984,3594,磐儀,2015,0%,0.4%,17.1%,5.8%,76.6%,0.1%
985,3141,晶宏,2014,0%,0.6%,6.3%,29.5%,63.3%,0.3%
986,3058,立德,2014,0%,2.9%,1%,13.2%,82.8%,0%
987,3323,加百裕,2014,0%,2%,0%,4.9%,89.1%,4%
988,3296,勝德,2014,0%,5.1%,10.4%,15.2%,68.1%,1.1%
989,2460,建通,2014,0%,1.2%,0%,53%,45.8%,0%
990,4905,台聯電,2014,0%,12.5%,0.3%,26.9%,60.3%,0%
991,4541,晟田,2014,0%,6.2%,10.7%,15.9%,67.2%,0%
992,3362,先進光,2014,0%,0.1%,0.6%,18%,81.3%,0%
993,1618,合機,2014,0%,1.2%,0%,42.3%,56.5%,0%
994,3332,幸康,2015,0%,0.1%,0%,2.1%,97.8%,0%
995,8054,安國,2014,0%,7.9%,6.5%,17.6%,62.9%,5.1%
996,1316,上曜,2014,0%,0.1%,0%,13.2%,86.8%,0%
997,3228,金麗科,2014,0%,1%,6.6%,4.4%,87.2%,0.9%
998,1731,美吾華,2014,0%,4.7%,0.2%,34%,61.1%,0%
999,1568,倉佑,2014,0%,1.6%,3.9%,47.1%,47.3%,0%
1000,3707,漢磊,-,0%,0%,0%,0%,0%,0%
1001,4908,前鼎,2014,0%,1.3%,2%,33.5%,63.2%,0%
1002,2904,匯僑,2014,0%,1.4%,0%,51.8%,46.8%,0%
1003,4133,亞諾法,2014,0%,11.4%,2.1%,16%,70.5%,0%
1004,1540,喬福,2014,0%,0.4%,0%,10.1%,89.5%,0%
1005,4916,事欣科,2014,0%,10%,2.7%,31.3%,56%,0%
1006,1727,中華化,2014,0%,4.6%,0%,5.8%,89.5%,0%
1007,5520,力泰,2015,0%,0%,2.7%,65.6%,31.7%,0%
1008,3390,旭軟,2015,0%,1%,8%,16.4%,74.6%,0%
1009,6152,百一,2014,0%,6.7%,0.2%,12.6%,80.4%,0%
1010,6194,育富,2014,0%,7.6%,1.4%,12.3%,78.7%,0%
1011,5284,F-jpp,2014,0%,70.8%,1.2%,8.7%,19.2%,0%
1012,9955,佳龍,2014,0%,1%,1.4%,10.6%,87%,0%
1013,1514,亞力,2014,0%,7.1%,0%,11.9%,81%,0%
1014,8048,德勝,2014,0%,0.8%,0%,21.2%,72.6%,5.3%
1015,4976,佳凌,2014,0%,0.1%,0.7%,30.4%,66.9%,1.9%
1016,3290,東浦,2014,0%,0.4%,9.1%,4.6%,85.9%,0%
1017,6234,高僑,2014,0%,6.3%,4.7%,21.2%,67.8%,0%
1018,6155,鈞寶,2015,0%,0.6%,6.8%,23%,69.6%,0%
1019,4207,環泰,2014,0%,0.4%,10.7%,27%,62%,0%
1020,3339,泰谷,2014,0%,14.6%,0.1%,46.2%,39.1%,0%
1021,1220,台榮,2014,0%,6.9%,0%,26%,67.2%,0%
1022,5206,坤悅,2014,0%,13%,0.2%,15.4%,71.4%,0%
1023,2413,環科,2014,0%,0.3%,0%,4.8%,94.9%,0%
1024,1784,訊聯,2015,0%,0.6%,0.9%,8.9%,89.5%,0%
1025,2516,新建,2014,0%,2.3%,0%,5.3%,88.1%,4.3%
1026,1410,南染,2014,0%,14.3%,0%,21.8%,63.9%,0%
1027,3455,由田,2014,0%,0.3%,4.6%,1.7%,93.4%,0%
1028,5491,連展,2014,0%,1%,0%,2%,97%,0%
1029,4956,光鋐,2014,0%,5.6%,0%,27%,67.4%,0%
1030,3038,全台,2014,0%,0.6%,0%,6.5%,92.9%,0%
1031,1539,巨庭,2015,0%,0.7%,0.7%,43.2%,55.4%,0%
1032,1566,捷邦,2014,0%,4.9%,0%,30.8%,64.3%,0%
1033,2546,根基,2014,0%,0.5%,0.1%,46.3%,53.1%,0%
1034,3029,零壹,2014,0%,0.3%,2.2%,4.6%,93%,0%
1035,6186,新潤,2014,0%,0%,0%,42%,58%,0%
1036,3466,致振,2014,0%,12.2%,0%,2.4%,83%,2.4%
1037,2380,虹光,2014,0%,13.8%,0%,6.7%,77.9%,1.5%
1038,2305,全友,2015,0%,13.8%,0%,34.7%,51.5%,0%
1039,1528,恩德,2014,0%,0.7%,0%,17.8%,81.4%,0%
1040,3579,尚志,2015,0%,0.2%,0%,58.9%,40.9%,0%
1041,8432,東生華,2014,0%,0.5%,2.2%,62.8%,34.5%,0%
1042,1414,東和,2014,0%,3.5%,0%,34.5%,62%,0%
1043,5439,高技,2015,0%,0.2%,0%,10.8%,89%,0%
1044,1465,偉全,2015,0%,0.4%,13.1%,7.3%,79.3%,0%
1045,3046,建碁,2014,0%,5.9%,0%,31.2%,62.9%,0%
1046,5601,台聯櫃,2014,0%,2.5%,0%,23.6%,73.9%,0%
1047,1730,花仙子,2014,0%,6.6%,3.7%,16.1%,73.6%,0%
1048,2488,漢平,2015,0%,1.4%,7.3%,23.6%,67.6%,0%
1049,4729,熒茂,2014,0%,0.1%,0%,47.2%,52.7%,0%
1050,3221,台嘉碩,2014,0%,0.1%,5.1%,11.7%,81.7%,1.4%
1051,1454,台富,2015,0%,0.4%,0%,22.5%,77.1%,0%
1052,5481,華韡,2015,0%,0.3%,0%,18.4%,81.4%,0%
1053,3526,凡甲,2014,0%,0.2%,0%,14.8%,84.6%,0.3%
1054,2442,新美齊,2015,0%,0.4%,0%,55.2%,44.5%,0%
1055,8074,鉅橡,2015,0%,0%,0%,16%,80.4%,3.6%
1056,4907,富宇,2014,0%,0.1%,78.2%,0%,21.7%,0%
1057,4924,F-欣厚,2014,0%,32.3%,0%,2.7%,65%,0%
1058,4721,美琪瑪,2014,0%,0.2%,1.3%,23.7%,74.8%,0%
1059,6220,岳豐,2014,0%,0.2%,0%,10.3%,89.4%,0%
1060,5317,凱美,2014,0%,0.2%,0%,4.3%,95.6%,0%
1061,8155,博智,2015,0%,0.1%,6.2%,48.1%,45.6%,0%
1062,3303,岱稜,2014,0%,0.2%,0.7%,4.6%,92.3%,2.2%
1063,3588,通嘉,2015,0%,8%,2%,9.8%,80.2%,0%
1064,1541,錩泰,2015,0%,9.7%,0%,10.4%,79.9%,0%
1065,6154,順發,2015,0%,0%,0%,42.8%,57.2%,0%
1066,1515,力山,2015,0%,0.9%,5.5%,10.4%,83.2%,0%
1067,4109,穆拉德,2015,0%,0.1%,0%,6.7%,93.2%,0%
1068,2375,智寶,2014,0%,10.1%,0%,22.8%,67.2%,0%
1069,3205,佰研,2014,0%,0.2%,0%,12.3%,87.4%,0%
1070,6506,雙邦,2015,0%,0%,0%,5.4%,94.6%,0%
1071,2064,晉椿,2014,0%,0%,12.7%,25.6%,61.7%,0%
1072,8032,光菱,2014,0%,0%,1.7%,56.4%,41.8%,0%
1073,6129,普誠,2014,0%,3.5%,0%,3.4%,93.2%,0%
1074,3169,亞信,2014,0%,0.1%,0%,17.7%,77.8%,4.3%
1075,3553,力積,2014,0%,4.7%,1.6%,8.9%,84.8%,0%
1076,8038,長園科,2014,0%,2.9%,0%,27%,70.1%,0%
1077,9958,世紀鋼,2015,0%,0.4%,0%,40.3%,59.3%,0%
1078,6175,立敦,2015,0%,0.2%,1.3%,37.6%,61%,0%
1079,3285,微端,2015,0%,0.8%,0.3%,21.8%,77.1%,0%
1080,3508,位速,2014,0%,23.6%,0%,6.6%,69.8%,0%
1081,2611,志信,2014,0%,1.3%,0%,58.6%,39.1%,1%
1082,6164,華興,2014,0%,1.2%,4.1%,2.4%,92.3%,0%
1083,5403,中菲,2015,0%,2.7%,0.6%,7%,89.7%,0%
1084,6215,和椿,2014,0%,5.8%,0%,18.2%,76%,0%
1085,3577,泓格,2014,0%,0%,0%,25.9%,74.1%,0%
1086,1470,大統染,2014,0%,0.2%,0%,29.6%,70.2%,0%
1087,8424,惠普,2014,0%,0.5%,0%,52%,47.5%,0%
1088,1469,理隆,2014,0%,0.1%,0%,44.1%,55.8%,0%
1089,6142,友勁,2014,0%,3%,0%,19.5%,75.8%,1.6%
1090,1468,昶和,2014,0%,1.9%,0%,51.3%,46.8%,0%
1091,5452,佶優,2014,0%,6.3%,0%,24.5%,66.1%,3%
1092,6208,日揚,2015,0%,0.6%,0%,5.9%,93.4%,0%
1093,3024,憶聲,2014,0%,2.7%,0%,14.1%,81.4%,1.8%
1094,8435,鉅邁,2015,0%,0.1%,0%,7.7%,92.2%,0%
1095,3310,佳穎,2014,0%,0%,0.1%,58.5%,41.4%,0%
1096,5603,陸海,2015,0%,7.4%,1.4%,11.8%,79.5%,0%
1097,6114,翔昇,2014,0%,0%,0%,71%,29%,0%
1098,1471,首利,2014,0%,3%,3.2%,14.9%,78.9%,0%
1099,4946,辣椒,2014,0%,42.9%,0%,6.2%,50.9%,0%
1100,8182,加高,2014,0%,51%,0.9%,0.8%,47.4%,0%
1101,4995,晶達,2014,0%,7.6%,0%,28.6%,63.8%,0%
1103,5355,佳總,2014,0%,0.3%,1.9%,2.6%,95.2%,0%
1104,2613,中櫃,2015,0%,0.4%,0%,54.9%,44.8%,0%
1105,4413,飛寶,2014,0%,6.1%,0%,6.6%,87.2%,0%
1106,1787,福盈科,2014,0%,2.6%,3.6%,12%,81.8%,0%
1107,6235,華孚,2014,0%,5.2%,0%,36%,58.8%,0%
1108,9902,台火,2014,0%,0%,0%,24.4%,75.5%,0%
1109,5523,豐謙,2014,0%,0%,0%,47.4%,52.6%,0%
1110,5704,老爺知,2014,0%,0%,0.2%,21.2%,78.6%,0%
1111,6292,迅德,2014,0%,0.3%,0%,45.6%,54.1%,0%
1112,3546,宇峻,2015,0%,0.4%,0%,17.5%,80.7%,1.5%
1113,3306,鼎天,2014,0%,1.4%,1.6%,41.7%,55.2%,0%
1115,8085,福華,2014,0%,0.1%,0%,47.5%,52.4%,0%
1116,3663,鑫科,2014,0%,3.7%,0%,54.1%,42.2%,0%
1117,9950,萬國通,2014,0%,0%,0%,24%,76%,0%
1118,4984,F-科納,2014,0%,61.7%,0%,1.2%,37.1%,0%
1119,2415,錩新,2014,0%,0.3%,0%,25.3%,74.4%,0%
1120,6243,迅杰,2014,0%,1.1%,0%,10.8%,85.4%,2.7%
1121,5703,亞都,2014,0%,14.6%,0%,17.5%,67.9%,0%
1122,3419,譁裕,2014,0%,5.4%,0.7%,3.7%,90.1%,0%
1123,3669,圓展,2014,0%,2.3%,0.7%,50.7%,45.1%,1.3%
1124,9928,中視,2014,0%,0%,5.6%,64.2%,30.1%,0%
1125,8059,凱碩,2014,0%,0.2%,0.6%,35.3%,62.4%,1.6%
1126,3315,宣昶,2014,0%,0.1%,0%,5.9%,94%,0%
1127,2399,映泰,2014,0%,22.5%,0%,7.2%,70.3%,0%
1128,4111,濟生,2014,0%,0.8%,0.1%,8.8%,90.2%,0%
1129,2702,華園,2014,0%,36.7%,0%,19.9%,43.4%,0%
1130,5014,建錩,2014,0%,0%,0%,10.2%,89.8%,0%
1131,6141,柏承,2015,0%,2.8%,0%,16.4%,80.1%,0.7%
1132,2427,三商電,2014,0%,2%,0%,52%,44.4%,1.6%
1133,3095,及成,2014,0%,3%,0%,7.8%,89%,0.1%
1134,3593,力銘,2014,0%,0.3%,0.2%,41.6%,58%,0%
1135,2596,綠意,2015,0%,0%,21.3%,37.8%,41%,0%
1136,1456,怡華,2014,0%,0.1%,0%,70.9%,29%,0%
1137,4973,廣穎,2014,0%,1.1%,10.8%,14%,74.1%,0%
1138,1742,台蠟,2015,0%,0.4%,0%,35.7%,64%,0%
1139,6163,華電網,2014,0%,1%,0%,8.7%,90.3%,0%
1140,4305,世坤,2014,0%,2.1%,0%,10.1%,87.8%,0%
1141,5498,凱崴,2014,0%,0.1%,0%,38.5%,61.4%,0%
1142,1599,宏佳騰,2014,0%,26.3%,0%,34.6%,39.1%,0%
1143,8099,大世科,2014,0%,0.1%,0%,59%,40.9%,0%
1144,3672,康聯訊,2015,0%,0.1%,9.2%,21.8%,68.8%,0%
1145,5438,東友,2014,0%,0.6%,4.3%,38.4%,56.8%,0%
1146,3666,光耀,2014,0%,3.9%,1%,48.8%,46.3%,0%
1147,1445,大宇,2014,0%,0.9%,0%,20.7%,78.4%,0%
1148,6603,富強鑫,2014,0%,0%,0%,6.4%,93.5%,0%
1149,8927,北基,2014,0%,0%,0%,20.3%,75.5%,4.1%
1150,5464,霖宏,2015,0%,0%,6.1%,9.8%,84.1%,0%
1151,3089,遠昇,2014,0%,1.1%,2.8%,9.7%,86.4%,0%
1152,1584,精剛,2014,0%,0%,10.8%,29.8%,58.2%,1.2%
1153,6237,驊訊,2014,0%,3%,0%,7.7%,89.4%,0%
1154,3489,森寶,2015,0%,0.6%,0%,67.8%,31.7%,0%
1155,3002,歐格,2014,0%,0.4%,0%,20.4%,79.2%,0%
1156,4953,緯軟,2014,0%,20.2%,0.7%,29.8%,49.3%,0%
1157,3093,港建,2014,0%,67.7%,1.2%,1.6%,29.5%,0%
1158,8033,雷虎,2014,0%,2.9%,0.5%,0.3%,96.3%,0%
1159,3675,德微,-,0%,0%,0%,0%,0%,0%
1160,3232,昱捷,2014,0%,3%,0.8%,2%,94.1%,0%
1161,8941,關中,2014,0%,1.3%,0.1%,61.1%,37.5%,0%
1162,3360,尚立,2015,0%,6.8%,0.5%,6.6%,86.1%,0%
1163,2528,皇普,2014,0%,3.3%,0.3%,60.4%,36%,0%
1164,6294,智基,2014,0%,0%,0%,15.7%,84.3%,0%
1165,4171,瑞基,2014,0%,15.5%,0%,20.9%,63.5%,0%
1166,1569,濱川,2014,0%,0.9%,0%,16.7%,82.4%,0%
1167,6231,系微,2015,0%,12.1%,0.1%,16.3%,71.6%,0%
1168,8043,蜜望實,2014,0%,0.1%,0.2%,30.6%,69.2%,0%
1169,2032,新鋼,2014,0%,1.1%,0.6%,12.5%,85.8%,0%
1170,5016,松和,2015,0%,0%,0%,1.2%,98.7%,0%
1171,5015,華祺,2014,0%,7.3%,4.7%,14.9%,73.2%,0%
1172,3548,兆利,2014,0%,2.5%,0.6%,23.4%,73.5%,0%
1173,6160,欣技,2014,0%,2.6%,0%,17.7%,78.6%,1.2%
1174,4173,久裕,2014,0%,0%,0%,69.8%,30.2%,0%
1175,2025,千興,2015,0%,0.8%,0%,17.9%,81.4%,0%
1176,4747,強生,2014,0%,0.5%,0%,0.6%,98.9%,0%
1177,1813,寶利徠,2015,0%,10.6%,0%,15.9%,73.6%,0%
1178,5251,天鉞電,2014,0%,0.2%,0%,19.2%,80.6%,0%
1180,1439,中和,2014,0%,60%,0%,0.6%,39.4%,0%
1181,1423,利華,2014,0%,0.9%,0%,35%,64.1%,0%
1182,6158,禾昌,2014,0%,0.7%,0%,6.9%,90%,2.3%
1183,1593,祺驊,2014,0%,0.8%,1.3%,7.7%,90.2%,0%
1184,1906,寶隆,2014,0%,0.2%,0%,62.7%,37.2%,0%
1185,3324,雙鴻,2014,0%,0.5%,0.2%,1.1%,98.3%,0%
1186,8418,F-必勝,2014,0%,81.2%,0%,2.7%,14.5%,1.6%
1187,4939,亞電,2014,0%,2.1%,3.7%,10.7%,83.4%,0%
1188,6123,上奇,2014,0%,0.2%,1.4%,34.8%,57.5%,6.1%
1189,3664,F-安瑞,2014,0%,56.7%,3.2%,4.2%,34.2%,1.8%
1190,3615,安可,2015,0%,1.8%,0%,24.9%,73.3%,0%
1191,6101,弘捷,2014,0%,0.1%,0%,63.2%,36.7%,0%
1192,1616,億泰,2014,0%,0.2%,0%,16.7%,83%,0%
1193,4950,牧東,2014,0%,27.3%,0%,4.4%,63.6%,4.6%
1194,3217,優群,2015,0%,0.1%,0%,23.5%,76.4%,0%
1195,1781,合世,2014,0%,4.4%,0%,0.2%,95.4%,0%
1196,6156,松上,2014,0%,4.1%,0%,47.4%,48.5%,0%
1197,8390,金益鼎,2014,0%,1%,0%,17.7%,81.3%,0%
1198,9929,秋雨,2014,0%,9.7%,0%,23.5%,66.8%,0%
1199,2453,凌群,2014,0%,0.2%,0.7%,11.6%,87.5%,0%
1200,3021,鴻名,2015,0%,0.3%,0%,41.2%,55.3%,3.2%
1201,4523,永彰,2014,0%,23%,0%,23.8%,53.2%,0%
1202,6218,豪勉,2014,0%,0.1%,2.2%,8.7%,89%,0%
1203,3027,盛達,2015,0%,0.5%,0%,5.7%,93.7%,0%
1204,5493,三聯,2014,0%,0%,0%,21.2%,78.8%,0%
1205,6233,旺玖,2014,0%,2.2%,0%,3.3%,92.7%,1.8%
1206,4728,雙美,2014,0%,0.1%,3.6%,0.7%,95.6%,0%
1207,5259,清惠,2015,0%,0.3%,1.2%,36.4%,62.1%,0%
1208,1474,弘裕,2014,0%,2.3%,0%,27.1%,67.7%,2.9%
1209,4433,興采,2014,0%,1.1%,3.2%,15%,80.7%,0%
1210,3191,和進,2014,0%,0.1%,0%,4.4%,95.5%,0%
1211,8374,羅昇,2014,0%,2.4%,0%,29.7%,68%,0%
1212,3550,聯穎,2014,0%,3%,13%,3.6%,80.4%,0%
1213,2342,茂矽,2014,0%,16.3%,0%,1.1%,82.6%,0%
1214,8084,巨虹,2015,0%,2.6%,0%,15.2%,82.2%,0%
1215,6117,迎廣,2014,0%,2.8%,0%,17.1%,80%,0%
1216,4706,大恭,2014,0%,30.6%,3.6%,5.4%,60.5%,0%
1217,2465,麗臺,2014,0%,14.3%,0%,0.6%,85.1%,0%
1218,2302,麗正,2015,0%,3.7%,0%,43.6%,52.7%,0%
1219,6126,信音,2015,0%,1.2%,0%,17.2%,81.5%,0%
1220,2038,海光,2014,0%,0.1%,0%,53.4%,46.5%,0%
1221,3050,鈺德,2014,0%,3.1%,0%,23.8%,67%,6.1%
1222,9935,慶豐富,2014,0%,6.3%,0%,9.6%,84.1%,0%
1223,5310,天剛,2014,0%,0%,0%,25.9%,74.1%,0%
1224,6135,佳營,2014,0%,0.4%,0%,55%,44.7%,0%
1225,2444,友旺,2014,0%,5.4%,0%,6.1%,88.5%,0%
1226,8940,新天地,2015,0%,8.1%,0%,28%,63.9%,0%
1227,8222,寶一,2014,0%,0.8%,6.6%,46.3%,46.3%,0%
1228,3325,旭品,2014,0%,0.1%,0%,4.2%,95.7%,0%
1229,2440,太空梭,2014,0%,9.6%,0.5%,20.2%,69.7%,0%
1230,1586,和勤,2014,0%,0.5%,8.6%,36.2%,51%,3.7%
1231,5902,德記,2014,0%,0%,0%,65.5%,34.4%,0%
1232,5302,太欣,2015,0%,1.3%,0.1%,29.1%,69.5%,0%
1233,4720,德淵,2015,0%,2.5%,0%,11.1%,86.4%,0%
1234,4972,湯石,2014,0%,1.3%,0%,16%,82.7%,0%
1235,5324,士開,2014,0%,21.2%,0%,26.6%,52.2%,0%
1236,1615,大山,2014,0%,0.1%,0%,40.7%,59.2%,0%
1237,8080,奧斯特,2014,0%,0.3%,0%,16.8%,82.8%,0.1%
1238,2321,東訊,2014,0%,4.3%,0%,64.8%,30.8%,0%
1239,2641,正德,2014,0%,0%,0%,51.9%,48.1%,0%
1240,3564,其陽,2014,0%,12.9%,0%,31.3%,55.8%,0%
1241,3512,能緹,2014,0%,0%,0%,17.6%,82.4%,0%
1242,3016,嘉晶,2014,0%,0.6%,0%,24.9%,74.5%,0%
1243,2726,F-雅茗,2014,0%,58%,0.2%,2.5%,39.3%,0%
1244,5209,新鼎,2014,0%,0.1%,7.8%,51%,41.1%,0%
1245,1735,日勝化,2014,0%,0.1%,0.1%,28.6%,68.4%,2.9%
1246,3092,鴻碩,2014,0%,0.1%,8.4%,13.6%,77.3%,0.6%
1247,6133,金橋,2014,0%,1.4%,0.1%,21.1%,69.7%,7.6%
1248,6248,沛波,2014,0%,1.3%,0%,52.7%,46%,0%
1249,6236,康呈,2014,0%,0.1%,0%,86.2%,13.7%,0%
1250,6127,九豪,2015,0%,0.3%,0%,2.8%,96.9%,0%
1251,5529,志嘉,2014,0%,7.5%,0%,71.4%,21.1%,0%
1252,4429,聚紡,2014,0%,1.9%,8.1%,17.9%,72.1%,0%
1253,8079,誠遠,2014,0%,0.4%,0%,4.9%,94.7%,0%
1254,5410,國眾,2014,0%,0.2%,0%,18.1%,81.7%,0%
1255,1258,F-其祥,2014,0%,88.6%,0%,0.2%,11.3%,0%
1256,6227,茂綸,2015,0%,0%,0%,67.3%,32.7%,0%
1257,6426,統新,2014,0%,5.9%,5.2%,59.3%,29.7%,0%
1258,3581,博磊,2015,0%,6.9%,0%,16.3%,76.8%,0%
1259,3531,先益,2014,0%,20.1%,0%,13.1%,66.8%,0%
1260,8088,品安,2014,0%,26.2%,0%,0.4%,73.4%,0%
1261,5701,劍湖山,2015,0%,1.2%,1.8%,24.2%,72.8%,0%
1262,6151,晉倫,2014,0%,0.6%,0%,8.4%,91%,0%
1263,8049,晶采,2014,0%,0.4%,0%,9.7%,89.4%,0.5%
1264,1529,樂士,2014,0%,0%,0%,31.2%,68.8%,0%
1265,5475,德宏,2015,0%,0.4%,0%,12.8%,86.9%,0%
1266,2424,隴華,2014,0%,0.1%,0%,50.9%,49.1%,0%
1267,1617,榮星,2014,0%,21.3%,0%,41.8%,37%,0%
1268,6265,方土昶,2014,0%,1%,0.9%,22.6%,72.6%,2.9%
1269,3118,進階,2014,0%,0%,0%,10.2%,89.8%,0%
1270,4534,慶騰,2014,0%,0.1%,1.7%,33.4%,64.8%,0%
1271,6266,泰詠,2014,0%,1.4%,0%,11.8%,86.8%,0%
1272,5460,同協,2015,0%,1%,0%,0.6%,98.4%,0%
1273,1235,興泰,2014,0%,0.1%,0%,42.9%,57%,0%
1274,3171,新洲,2014,0%,0%,0%,68.2%,31.8%,0%
1275,5878,台名,2014,0%,0%,0.1%,46.8%,53.1%,0%
1276,3312,弘憶股,2014,0%,21.3%,0%,6.5%,72.2%,0%
1277,2063,世鎧,2014,0%,0.2%,8.8%,29.8%,61.3%,0%
1278,6211,福登,2014,0%,82.1%,0%,0.1%,17.8%,0%
1279,1213,大飲,2014,0%,0.1%,0%,72%,28%,0%
1280,2916,滿心,2015,0%,21.2%,2.8%,11%,65%,0%
1281,3402,漢科,2014,0%,0.3%,0%,15.1%,84.6%,0%
1282,4127,天良,2014,0%,0.1%,0%,2.7%,97.2%,0%
1283,3432,台端,2014,0%,0.3%,0%,23.6%,76%,0%
1284,6264,富裔,2014,0%,0%,0%,28.3%,71.6%,0%
1285,3224,三顧,2014,0%,0.9%,0%,8.6%,90.5%,0%
1286,2482,連宇,2015,0%,0.4%,0%,29.4%,70.2%,0%
1287,3642,駿熠電,2015,0%,0.6%,2.2%,14.4%,81.3%,1.6%
1288,1524,耿鼎,2015,0%,0.3%,0%,8.2%,91.5%,0%
1289,6199,精威,2014,0%,5.1%,0%,54.7%,40.3%,0%
1290,4415,台原藥,2014,0%,0%,0%,7.5%,92.4%,0%
