排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
1535,6172,互億,2014,0%,0%,0%,19.6%,80.3%,0%
1536,8067,志旭,2015,0%,13.6%,0%,29%,57.4%,0%
1537,3465,祥業,2015,0%,19.6%,6.6%,1.1%,72.7%,0%
1538,8068,全達,2014,0%,9.5%,0%,50.3%,40.2%,0%
1539,3562,頂晶科,2014,0%,1.1%,0%,64.9%,33.9%,0%
1540,3555,擎泰,2015,0%,13.9%,0%,9.2%,76.9%,0%
1541,4402,福大,2015,0%,0%,0%,2.9%,97.1%,0%
1542,5205,漢康,2014,0%,0%,0%,2.7%,97.3%,0%
1544,4419,松懋,2014,0%,0%,0%,1.4%,98.6%,0%
1545,3629,卓韋,2014,0%,0%,0%,40.1%,59.9%,0%
1546,4530,宏易,2014,0%,5.9%,0%,15.7%,78.4%,0%
1547,2361,鴻友,2014,0%,0.1%,0%,9.8%,90%,0%
1548,6291,沛亨,2014,0%,5.5%,0.9%,1.5%,92.2%,0%
23,3474,華亞科,2015,1.1%,49.4%,2.7%,33.8%,13%,0%
127,5522,遠雄,2014,1.1%,18.8%,0.2%,66%,13.9%,0%
186,1503,士電,2014,1.1%,32.8%,1.9%,37.5%,26.6%,0%
201,2548,華固,2015,1.1%,29.2%,15.4%,16.4%,37.9%,0%
282,6504,南六,2014,1.1%,2.1%,2.4%,27.8%,66.7%,0%
390,9943,好樂迪,2014,1.1%,3.1%,0.5%,56.1%,39.3%,0%
437,6230,超眾,2014,1.1%,8.3%,3.8%,4.8%,82%,0%
467,2351,順德,2014,1.1%,4.8%,6.5%,1.3%,86.3%,0%
729,5234,達興,2014,1.1%,1.8%,8.3%,55.9%,33%,0%
71,9914,美利達,2014,1.2%,45.6%,3.4%,5.3%,44.5%,0%
267,3705,永信,2014,1.2%,14.6%,2.5%,9.1%,72.6%,0%
468,8070,長華,2014,1.2%,9.7%,3%,41.3%,44.8%,0%
511,6274,台燿,2014,1.2%,18.1%,21%,9.6%,50.1%,0%
551,1305,華夏,2014,1.2%,10.8%,0.6%,43.9%,43.5%,0%
689,3491,昇達科,2015,1.2%,1.9%,9.9%,14.7%,72.3%,0%
919,3032,偉訓,2014,1.2%,0.4%,4.2%,33.7%,60.6%,0%
62,2356,英業達,2014,1.3%,36.9%,1.6%,17.6%,42.6%,0%
109,8406,F-金可,2014,1.3%,91.1%,2.2%,0.2%,5.2%,0%
220,4105,東洋,2014,1.3%,6.7%,3.7%,22.1%,66.1%,0%
605,3617,碩天,2014,1.3%,2.1%,1.9%,44.4%,50.3%,0%
939,8928,鉅明,2015,1.3%,0.2%,3.7%,37.1%,57.7%,0%
49,1476,儒鴻,2014,1.4%,37.5%,3.8%,19.5%,37.7%,0%
69,2615,萬海,2014,1.4%,39.8%,2.1%,28.4%,28.3%,0%
213,6166,凌華,2014,1.4%,11.9%,6.4%,35.8%,44.4%,0%
270,2905,三商,2014,1.4%,9.2%,0%,51.2%,38.2%,0%
387,2034,允強,2014,1.4%,8.7%,4.9%,26.4%,58.6%,0%
596,2472,立隆電,2014,1.4%,2.7%,9.4%,2.7%,83.8%,0%
294,6202,盛群,2014,1.5%,17.7%,9.5%,19%,52.4%,0%
495,4526,東台,2014,1.5%,10%,2.5%,26.1%,59.4%,0.5%
592,8110,華東,2014,1.5%,18.4%,1.1%,39.5%,38.9%,0.6%
214,3376,新日興,2014,1.6%,14.6%,18.8%,3.9%,61.1%,0%
501,3653,健策,2014,1.6%,4.5%,3%,57.6%,32.8%,0.5%
154,2360,致茂,2014,1.7%,49.4%,13.9%,4.3%,30.7%,0%
177,1707,葡萄王,2014,1.7%,16.2%,6.1%,5.3%,70.7%,0%
188,2727,王品,2015,1.7%,6.1%,7.8%,19.2%,65.3%,0%
224,4960,奇美材,2014,1.7%,14.5%,2.9%,53.1%,27.8%,0%
279,2534,宏盛,2014,1.7%,8.5%,7.3%,37.1%,45.3%,0%
310,2450,神腦,2014,1.7%,8.2%,3.7%,63.6%,22.9%,0%
728,2480,敦陽科,2014,1.7%,6.1%,7.5%,2.4%,82.3%,0%
48,2887,台新金,2014,1.8%,33%,5.8%,18.2%,41.1%,0%
175,1710,東聯,2015,1.9%,6.3%,16.4%,51.4%,24%,0%
400,5203,訊連,2014,1.9%,16.2%,7.8%,25.6%,48.4%,0%
537,4979,華星光,2014,1.9%,2.3%,15.5%,8.7%,71.5%,0%
609,2430,燦坤,2014,1.9%,10.7%,3.4%,46.3%,37.7%,0%
30,2303,聯電,2014,1%,41.2%,6.2%,11.4%,38.6%,1.6%
59,5871,F-中租,2015,1%,71.1%,5.1%,3.5%,19.3%,0%
336,8131,福懋科,2014,1%,2.7%,2%,71.5%,22.8%,0%
368,1460,宏遠,2015,1%,4.6%,3.3%,47.9%,43.3%,0%
516,5243,F-乙盛,2015,1%,67.9%,2.7%,0.5%,27.9%,0%
691,3689,湧德,2014,1%,22.1%,17.3%,10.1%,49.5%,0%
903,4192,杏國,2014,1%,2%,1.1%,68.4%,27.4%,0%
94,3682,亞太電,2014,10.3%,5.7%,4.1%,33.7%,46.2%,0%
65,2610,華航,2014,10%,11.3%,3.8%,45.3%,29.6%,0%
209,2035,唐榮,2014,11.6%,0%,32%,50.5%,5.9%,0%
139,2393,億光,2014,12.2%,34.2%,12.9%,3.5%,37%,0.1%
401,8936,國統,2014,13.7%,3.2%,17.9%,9.2%,56.1%,0%
131,1789,神隆,2014,13.9%,9%,1.5%,62%,13.6%,0%
43,2801,彰銀,2014,15.4%,14.1%,31.1%,9.9%,29.6%,0%
157,4162,智擎,2014,16.1%,2.7%,13.1%,33.1%,35%,0%
63,5347,世界,2014,16.7%,25.1%,6.1%,42%,8.8%,1.1%
554,4142,國光生,2014,17.1%,10.4%,9.3%,28.5%,34.7%,0%
1543,5348,系通,2014,17.4%,0.2%,0%,18.3%,64.1%,0%
7,2881,富邦金,2014,18.9%,30.2%,4.5%,22.3%,24%,0%
17,2886,兆豐金,2014,19.3%,37.3%,18%,7.8%,17.5%,0%
32,2892,第一金,2014,19%,20.9%,19.5%,5.1%,35.5%,0%
421,2497,怡利電,2014,2.1%,12.4%,8.4%,2.7%,74.4%,0%
477,3704,合勤控,2014,2.1%,6.5%,2.9%,3.7%,84%,0.9%
184,9941,裕融,2014,2.2%,1.9%,11.8%,62.7%,21.5%,0%
35,2880,華南金,2015,2.3%,18.5%,33.8%,22.3%,23%,0%
72,3702,大聯大,2014,2.3%,30.2%,15.8%,7.6%,44%,0%
141,2392,正崴,2014,2.3%,26.6%,8.7%,19.4%,43%,0%
275,3450,聯鈞,2014,2.3%,19.7%,14.2%,16.4%,47.4%,0%
343,5009,榮剛,2014,2.3%,14.3%,10.5%,8.6%,63.8%,0.4%
370,2062,橋椿,2015,2.3%,19.5%,19.2%,16.8%,42.2%,0%
456,2420,新巨,2014,2.3%,3.7%,16.9%,1.6%,75.4%,0%
241,3698,隆達,2014,2.4%,11.3%,13.5%,34.9%,37.9%,0%
271,3552,同致,2014,2.4%,19%,14.1%,22.4%,42%,0%
22,4904,遠傳,2014,2.5%,27.5%,22.3%,43.8%,4%,0%
251,2504,國產,2014,2.5%,10.2%,3%,30.8%,53.5%,0%
357,1338,F-廣華,2014,2.5%,18.1%,7.4%,11.8%,60.2%,0%
396,6153,嘉聯益,2014,2.5%,12.5%,15%,4.7%,65.2%,0%
464,3356,奇偶,2014,2.5%,21.4%,13.2%,16.1%,46.8%,0%
600,4746,台耀,2014,2.5%,2.5%,6.3%,26.5%,62.1%,0%
44,2354,鴻準,2014,2.6%,19.4%,3.9%,37.6%,36.5%,0%
92,6239,力成,2014,2.6%,47.7%,8.2%,4.9%,34.6%,1.9%
99,6121,新普,2015,2.6%,45.6%,16.2%,13.7%,21.9%,0%
205,3036,文曄,2014,2.6%,21.9%,14%,5.6%,56%,0%
302,8016,矽創,2014,2.6%,22%,7.8%,6.9%,60.7%,0%
87,2834,臺企銀,2014,2.7%,14.9%,33.7%,10%,38.8%,0%
125,2903,遠百,2014,2.7%,18.5%,7.9%,43.6%,27.3%,0%
178,5483,中美晶,2015,2.7%,15.7%,3.3%,20.7%,57.6%,0%
880,5609,中菲行,2014,2.7%,8.3%,1.8%,7.1%,80%,0%
60,4958,F-臻鼎,2014,2.8%,77.2%,9.1%,1.8%,9.1%,0%
614,6143,振曜,2014,2.8%,1.8%,8.8%,14.6%,72%,0%
16,2311,日月光,2014,2.9%,75.7%,2.2%,7.1%,12.2%,0%
45,9904,寶成,2014,2.9%,58.1%,8.2%,13.8%,16.9%,0%
424,2402,毅嘉,2014,2.9%,14.1%,6.4%,8.6%,67.9%,0%
197,1907,永豐餘,2015,2%,17.2%,0.6%,32.5%,47.7%,0%
261,6279,胡連,2014,2%,8%,5.2%,10.8%,74%,0%
384,1447,力鵬,2014,2%,6.8%,2.2%,48.9%,40%,0.1%
481,6192,巨路,2014,2%,14.2%,13.6%,23.3%,46.8%,0%
624,3645,達邁,2015,2%,6.6%,5.8%,24.4%,61.2%,0%
13,2002,中鋼,2014,20.1%,13.9%,11.9%,9.2%,44.9%,0%
734,9931,欣高,2014,21.3%,0.2%,1.4%,42.9%,34.2%,0%
359,2851,中再保,2014,22.8%,2.6%,0.1%,59.5%,15%,0%
615,8908,欣雄,2014,23.6%,0%,0%,46.4%,30%,0%
510,8917,欣泰,2014,24.6%,0%,0.4%,12.1%,62.8%,0%
513,9918,欣天然,2014,25.8%,0.4%,3.2%,31.5%,39.1%,0%
589,4130,健亞,2014,27.6%,12.2%,0.1%,11.9%,48.3%,0%
